index,id,nickname,title,finishYn,ageGrade,restYn,dateCreated,isNew,averageScore,artist,latest_upload,last_chapter,img_url,intro,genres,categories
231,1183,moving,무빙,Y,0,N,20150201115949,0,9.76978033695884,강풀/강풀,20150921153314,48.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/561A2E00023C800001,남들이 모르는 비밀을 간직하고 있는 고등학생. 그리고 그 부모들의 이야기. 소년소녀들의 성장기.,드라마,초능력/히어로/능력자/영웅/스토리
232,1428,DockgoFlower,독고 플라워,Y,0,N,20180212175203,0,9.76767676767677,홍솔민/운,20180214094713,5.0,http://t1.daumcdn.net/webtoon/op/3c4fdda14570f9ff8e86016ace587c59eb41fc38,"태산고를 뒤흔든 또 하나의 독고다이, 박한솔. 그녀의 1년 전 이야기",학원,격투/고등학생/일진/스토리
233,938,taleofartist,루드비코의 만화일기,Y,0,N,20130401100114,0,9.76700814289467,루드비코/루드비코,20140715083651,45.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C02D0F0449B30001,작가 루드비코의 솔직한 이야기..일상툰은 이런 것이다!,코믹,생활툰/가족/병맛/만화가/에피소드
234,1352,TwentyReport,20세 보고서,N,0,N,20170220163521,0,9.76685639229422,YSE/YSE,20180828000100,67.0,http://t1.daumcdn.net/cartoon/58AA9BCC0275F30003,이제 막 성인이 된 초보 20세들의 이야기,드라마,학교생활/친구/성장드라마/대학생/스토리
235,164,curling,반짝반짝 컬링부,Y,0,N,20100120091838,0,9.76595744680851,곽인근/곽인근,20100428085122,28.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5624D38003207F0003,컬링을 단 한번도 해본적 없는 선생님과 학생들이 풀어가는 좌충우돌 컬링 이야기,스포츠,컬링/학교생활/고등학생/동아리/스토리
236,862,Cassandra,카산드라,Y,0,N,20120522105141,0,9.76497395833333,이하진/이하진,20140324095252,92.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/555300B90639DC0001,그대는 미래를 보겠지만 아무도 믿지 않으리라! 아폴론의 저주를 받은 카산드라 왕녀,드라마,역사/고전/신화/그리스/스토리
237,224,s_woman2,수퍼우먼2,Y,0,N,20100519093818,0,9.76223776223776,임강혁/임강혁,20101124094342,27.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C06AD503380C0001,"모든 것이 사라진 지금, 그녀 앞에 펼쳐진 또 다른 세계는?! 본격 히어로 만화 ",액션,영웅/여성 능력자/스토리
238,838,detectivestory,수사전,Y,0,N,20120210143828,0,9.76095820591233,팀 풍경/팀 풍경,20130203084727,42.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1C8B90228570001,광무 5년 대한제국을 배경으로한 본격 정치 수사극!,판타지,추리/형사/수사/조선시대/스토리
239,1219,survivor,생존인간,Y,0,N,20150623102528,0,9.75951675404604,디디/디디,20160426000100,40.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5588B11F043E510002,학교는 나의 유일한 안식처였다. '그것'이 나타나기 전까지... ,공포,살인사건/초자연/괴물/돌연변이/스토리
240,606,nosee,보지 못하고 듣지 못하고 사랑해,Y,0,N,20101018093949,0,9.7587416544076,고영훈/고영훈,20110829092311,87.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C046AF03776C0001,나는 당신을 못보고 당신은 나를 못듣지만 그래도 사랑해,드라마,사랑/질병/결혼생활/스토리
241,680,bisan,비산,Y,0,N,20110227085740,0,9.75740131578947,박혜림/박혜림,20110501092959,10.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C049970410C30001,대구 '비산동 설화'를 모티브로 한 만화로 거대한 거북과 한 소년의 짧은 여행을 다루고 있다.,드라마,설화/동물/자연/감동/스토리
242,529,covertness,은밀하게 위대하게 (2010),N,0,N,20100630174151,0,9.75714625069285,Hun/Hun,20180902000100,66.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554C44B40236FF0001,"천재 남파 간첩, 그의 임무는 동네 바보형?",액션,간첩/북한/영화화/스토리
243,1224,grayroom,"회색 방, 소녀",Y,0,N,20150707143633,0,9.75700934579439,봉봉/봉봉,20160812000100,56.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/559B653A01713F0001,"이름 없는 소녀의 삶과 죽음, 버림받은 아이들의 비극에 관하여…",드라마,살인사건/이웃/형사/소녀/스토리
244,1472,secretary,사장님과 금비서,Y,0,N,20180514144355,0,9.75669642857143,KIRTY/라임정원,20180521105016,3.0,http://t1.daumcdn.net/webtoon/op/ac0fad5f2c608c7d0728534d8b652a14cf43c2c2,사장님과의 하룻밤?! 회사에서 벌어지는 초대형 로맨스 사고,드라마,직장인/꽃미남/사랑/연애/스토리
245,1463,killorlove,죽고 못사는 연애,Y,0,N,20180426102140,0,9.75609756097561,그리온/기범,20180511113400,3.0,http://t1.daumcdn.net/webtoon/op/f795d960dc81bb6d1401f68daab1da030c50ca39,살고 싶으면 남자랑 연애해라?! 못 잡아먹어 안달인 두 남자의 죽지 않기 위한 연애,판타지,BL/대학생/연애/천사/스토리
246,1330,MRIP,MR!P : 어둠의 씨앗,Y,0,N,20161104184024,0,9.75567077122489,이지에이 EGA/이지에이 EGA,20171124000000,24.0,http://t1.daumcdn.net/webtoon/op/d3163cb7d18019d4f7735a9704d284c65ca541ed,흑마법이 지배하는 세상! 혼란에 빠진 세상을 구하기 위해 사라졌던 영웅이 돌아온다.,판타지,영웅/모험/마법/히어로/스토리
247,760,dings,딩스뚱스,A,0,Y,20110728095257,0,9.75537056928034,딩스/딩스,20180301000000,216.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5549C522023AC70002,"토종 한국인 딩스와 뚱스, 타지에서 맨 땅에 헤딩하기!",일상,결혼생활/중국/육아/미국/에피소드
248,1363,kimongtoon,키몽툰,N,0,N,20170502184139,0,9.75502232142857,키몽/키몽,20180831000100,78.0,http://t1.daumcdn.net/cartoon/590853E102083A0001,"순도 100% 언어유희, 아재 드립 끝판왕 키몽을 만나보자!",코믹,유머/동물/병맛/에피소드
249,798,tammyoin,탐묘인간,Y,0,N,20111022090435,0,9.75348508911241,soon/soon,20131109090358,112.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554AC9BA021FEB0002,고양이의 모든 것이 사랑스러워..당신도 나와 같은가요?,일상,반려동물/고양이/사색/힐링/에피소드
250,1021,streetstall,노점 묵시록,Y,0,N,20131030095510,0,9.75330520393812,백봉/백봉,20160810085959,71.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55493E3F057B900001,"지상 최고의 떡볶이, 붕어빵, 호떡을 겨룬다! 산송장 백봉 작가의 신작",코믹,음식/병맛/배틀/능력자/스토리
251,1398,SchoolTeacher,고등학쌤,Y,0,N,20171103134600,0,9.75249807840123,백영민/백영민,20180106000000,10.0,http://t1.daumcdn.net/webtoon/op/ecf33f3a51259519764d85d22b4dcc814075bc3f,우락부락 청소년과 가녀린 선생님의 영혼이 바뀌었다? 겨울캠프에서 벌어지는 사건에 휘말리게 되는데…,학원,고등학생/선생님/학교생활/스토리
252,1300,cockroach,바퀴벌레,Y,19,N,20160530204143,0,9.75247071742313,조금산/조금산,20171013000000,66.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/574C26B901750C0003,,,
253,1364,Donas,도나스 학교괴담,N,0,N,20170502192854,0,9.75012153621779,DONA$/DONA$,20180903000100,51.0,http://t1.daumcdn.net/webtoon/op/671f4578afaf67a57285e86522a8b8c812a38e72,기묘한 학교에서 벌어지는 무시무시한 이야기,코믹,괴담/학교생활/병맛/사건사고/에피소드
254,1193,rats,랫츠,Y,0,N,20150323141459,0,9.74943735933983,고래우/고래우,20170704000100,1053.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/561B77A102314A0001,"우리 곁을 둘러싼 수많은 사건 사고들, 나는 얼만큼 무뎌져 있는가?",드라마,사건사고/재난/사회문제/인간세계/스토리
255,846,roedeer,노루 ,Y,0,N,20120323162156,0,9.74940105414471,안성호/안성호,20130205174822,21.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1CCB90551120002,"200광년을 건너온 카메라, 인류의 마지막을 담다!",판타지,재난/지구멸망/로드무비
256,1481,tomboy,말괄량이 길들이기,N,0,N,20180607133609,0,9.74680041508129,비아이/비아이,20180902000100,12.0,http://t1.daumcdn.net/webtoon/op/51d908866581a08678b089c9c9b72dc11c1584e7,카사노바 페트루키오는 까칠한 미녀 카트리나를 유혹해달라는 의뢰를 받는데?,드라마,중세/미남미녀/사랑/선생님/스토리
257,890,liveoneleg,외발로 살다,Y,0,N,20120814094446,0,9.74419772932784,고영훈/고영훈,20131108092711,110.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C30F40037E5F0001,"각자의 삶을 건 싸움, 처절한 복수가 시작된다!",무협,무장/조선시대/연애/배틀/스토리
